epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4053,1.95169,1.82885,2.00736,0.97043,0.65874,0.81809,0.54477,1.42722,1.21047,1.65001,0.000664,0.000664,0.000664
2,45.9609,1.51221,1.1734,1.60135,0.97658,0.71301,0.84941,0.57882,1.33223,0.96421,1.54574,0.00127797,0.00127797,0.00127797
3,65.9392,1.42406,1.02876,1.5185,0.94051,0.79926,0.87416,0.58661,1.27983,0.8357,1.49063,0.00183914,0.00183914,0.00183914
4,86.2686,1.39718,0.95301,1.48759,0.98095,0.7658,0.87619,0.63962,1.19249,0.69173,1.40424,0.0017624,0.0017624,0.0017624
5,107.205,1.36477,0.90877,1.46032,0.9835,0.75316,0.87137,0.63744,1.18894,0.6536,1.3927,0.0016832,0.0016832,0.0016832
6,128.053,1.33199,0.85866,1.4342,0.9601,0.82305,0.90189,0.64924,1.17181,0.63185,1.37599,0.001604,0.001604,0.001604
7,148.788,1.3069,0.83033,1.41485,0.98198,0.81041,0.89839,0.65541,1.1804,0.6045,1.37595,0.0015248,0.0015248,0.0015248
8,169.304,1.28632,0.80535,1.3912,0.97882,0.82454,0.90469,0.66896,1.14144,0.58903,1.33569,0.0014456,0.0014456,0.0014456
9,189.83,1.2804,0.78947,1.39326,0.97548,0.82825,0.90829,0.66796,1.12391,0.5798,1.33427,0.0013664,0.0013664,0.0013664
10,210.419,1.26632,0.76751,1.37618,0.9829,0.8119,0.90172,0.67839,1.11964,0.55985,1.32342,0.0012872,0.0012872,0.0012872
11,230.831,1.24651,0.7524,1.36206,0.96515,0.86468,0.92328,0.67849,1.1269,0.56475,1.32755,0.001208,0.001208,0.001208
12,251.519,1.24121,0.74159,1.35469,0.98377,0.81115,0.89997,0.68081,1.114,0.53655,1.30825,0.0011288,0.0011288,0.0011288
13,272.248,1.22573,0.72905,1.34289,0.98265,0.84238,0.91653,0.69167,1.09707,0.52502,1.30487,0.0010496,0.0010496,0.0010496
14,292.785,1.21128,0.71319,1.34348,0.98237,0.86989,0.93178,0.70982,1.06735,0.51676,1.28114,0.0009704,0.0009704,0.0009704
15,313.508,1.19693,0.69664,1.32106,0.99044,0.84758,0.92086,0.70544,1.05973,0.50893,1.28126,0.0008912,0.0008912,0.0008912
16,348.325,1.16861,0.62546,1.32555,0.98291,0.89814,0.94523,0.71547,1.0609,0.49733,1.27049,0.000812,0.000812,0.000812
17,368.458,1.14858,0.58584,1.30783,0.98476,0.86468,0.92932,0.71376,1.04297,0.49073,1.25475,0.0007328,0.0007328,0.0007328
18,388.526,1.13216,0.57172,1.28223,0.98272,0.88773,0.94013,0.72418,1.02849,0.47566,1.24532,0.0006536,0.0006536,0.0006536
19,409.107,1.13522,0.56725,1.28646,0.98233,0.90929,0.95181,0.72553,1.03593,0.47215,1.24839,0.0005744,0.0005744,0.0005744
20,429.998,1.11294,0.54843,1.2727,0.97903,0.9026,0.94816,0.72752,1.02462,0.46578,1.23338,0.0004952,0.0004952,0.0004952
21,450.491,1.10643,0.53638,1.26312,0.98526,0.89442,0.94345,0.72886,1.02212,0.45962,1.23671,0.000416,0.000416,0.000416
22,471.101,1.08656,0.52712,1.25636,0.98229,0.90706,0.95083,0.73368,1.01136,0.45229,1.22616,0.0003368,0.0003368,0.0003368
23,491.964,1.07869,0.51895,1.25452,0.98482,0.91673,0.95559,0.74033,1.01334,0.44245,1.22487,0.0002576,0.0002576,0.0002576
24,512.449,1.06236,0.50864,1.24446,0.98469,0.90855,0.95219,0.7379,1.00747,0.44247,1.21903,0.0001784,0.0001784,0.0001784
25,533.172,1.05951,0.50705,1.23962,0.98876,0.91524,0.95565,0.74329,0.99694,0.4343,1.21034,9.92e-05,9.92e-05,9.92e-05
