epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6882,2.00015,1.91735,2.059,0.9375,0.58611,0.76938,0.49376,1.56457,1.30376,1.69813,0.000663333,0.000663333,0.000663333
2,38.4583,1.53235,1.20314,1.62521,0.83757,0.8097,0.85933,0.52274,1.49253,1.08636,1.57286,0.00132122,0.00132122,0.00132122
3,54.8557,1.46559,1.07918,1.55912,0.93032,0.74385,0.85362,0.5523,1.4121,0.88967,1.48966,0.00197031,0.00197031,0.00197031
4,71.0271,1.42297,1.01253,1.52217,0.92055,0.77135,0.86154,0.56069,1.403,0.82522,1.48388,0.0019604,0.0019604,0.0019604
5,86.9462,1.37673,0.94032,1.48293,0.88694,0.80608,0.8689,0.55803,1.35059,0.82908,1.44451,0.0019472,0.0019472,0.0019472
6,102.938,1.35889,0.90597,1.46233,0.90217,0.81404,0.87104,0.56688,1.34406,0.77985,1.42492,0.001934,0.001934,0.001934
7,119.252,1.32542,0.86221,1.43185,0.92352,0.80391,0.88376,0.58991,1.3386,0.75049,1.42167,0.0019208,0.0019208,0.0019208
8,135.344,1.3194,0.86218,1.42847,0.91413,0.82417,0.89054,0.59749,1.29897,0.71714,1.38382,0.0019076,0.0019076,0.0019076
9,151.748,1.30063,0.81589,1.40289,0.93126,0.82344,0.89702,0.60768,1.32481,0.712,1.39606,0.0018944,0.0018944,0.0018944
10,167.738,1.28892,0.81366,1.40113,0.92155,0.84153,0.9054,0.62044,1.30298,0.67791,1.38748,0.0018812,0.0018812,0.0018812
11,183.881,1.27488,0.79404,1.38926,0.90839,0.85384,0.90819,0.61534,1.3202,0.6892,1.39431,0.001868,0.001868,0.001868
12,200.653,1.2666,0.77332,1.3749,0.96488,0.79522,0.88942,0.62441,1.28869,0.66784,1.37087,0.0018548,0.0018548,0.0018548
13,216.996,1.26834,0.76478,1.38282,0.92095,0.86831,0.91651,0.62817,1.26941,0.67124,1.35818,0.0018416,0.0018416,0.0018416
14,233.581,1.24248,0.75822,1.36925,0.95097,0.81404,0.89858,0.62959,1.27453,0.65157,1.35947,0.0018284,0.0018284,0.0018284
