epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,250.266,1.2476,0.77145,1.37365,0.94562,0.84298,0.91239,0.63111,1.26558,0.63754,1.3504,0.0018152,0.0018152,0.0018152
16,267.116,1.23469,0.74063,1.35442,0.9431,0.87554,0.92748,0.64375,1.25946,0.60763,1.3439,0.001802,0.001802,0.001802
17,283.549,1.23352,0.74313,1.35665,0.9513,0.84805,0.91409,0.64578,1.25011,0.61782,1.34199,0.0017888,0.0017888,0.0017888
18,300.118,1.22637,0.73623,1.34843,0.94886,0.84588,0.91255,0.6462,1.25653,0.62224,1.33803,0.0017756,0.0017756,0.0017756
19,316.761,1.21391,0.71759,1.33501,0.94229,0.86252,0.91981,0.64665,1.25702,0.60719,1.33544,0.0017624,0.0017624,0.0017624
20,333.614,1.19899,0.69937,1.33165,0.95185,0.85818,0.92079,0.65045,1.23311,0.58819,1.31736,0.0017492,0.0017492,0.0017492
21,350.471,1.20466,0.71489,1.3297,0.95565,0.85745,0.92037,0.65067,1.25332,0.606,1.33902,0.001736,0.001736,0.001736
22,367.224,1.19126,0.705,1.32834,0.94281,0.88278,0.9321,0.64916,1.26809,0.61132,1.35039,0.0017228,0.0017228,0.0017228
23,383.798,1.189,0.69893,1.3112,0.93916,0.8712,0.92563,0.64698,1.25368,0.59503,1.33707,0.0017096,0.0017096,0.0017096
24,400.193,1.18209,0.69035,1.30901,0.95375,0.86541,0.92369,0.65589,1.23295,0.58391,1.31143,0.0016964,0.0016964,0.0016964
25,416.703,1.1886,0.68713,1.30484,0.96936,0.82417,0.906,0.64809,1.23456,0.60244,1.32613,0.0016832,0.0016832,0.0016832
26,433.282,1.18259,0.68688,1.31532,0.95759,0.84949,0.91585,0.65139,1.25131,0.59329,1.32811,0.00167,0.00167,0.00167
27,449.578,1.18471,0.67849,1.30993,0.95981,0.86397,0.9229,0.65473,1.24071,0.58072,1.31615,0.0016568,0.0016568,0.0016568
28,466.104,1.17419,0.67934,1.30258,0.94104,0.88929,0.93411,0.66779,1.2205,0.56799,1.30803,0.0016436,0.0016436,0.0016436
29,482.553,1.16337,0.6669,1.29297,0.9498,0.87627,0.92886,0.66475,1.22037,0.57347,1.30456,0.0016304,0.0016304,0.0016304
30,499.002,1.14819,0.65954,1.29187,0.95253,0.8712,0.92801,0.66365,1.22612,0.56609,1.31417,0.0016172,0.0016172,0.0016172
31,515.44,1.16298,0.65942,1.29439,0.94996,0.87916,0.92922,0.66099,1.22725,0.56372,1.31257,0.001604,0.001604,0.001604
32,531.912,1.15643,0.6623,1.29453,0.94902,0.87554,0.92901,0.66485,1.23723,0.55861,1.30956,0.0015908,0.0015908,0.0015908
33,548.384,1.14867,0.64676,1.28779,0.9557,0.8741,0.93008,0.66064,1.21814,0.56365,1.29579,0.0015776,0.0015776,0.0015776
34,565.046,1.15147,0.65084,1.2889,0.95227,0.88061,0.93173,0.66439,1.23365,0.56733,1.30168,0.0015644,0.0015644,0.0015644
35,581.532,1.15082,0.64497,1.28631,0.96029,0.87482,0.92916,0.66574,1.21661,0.57004,1.29999,0.0015512,0.0015512,0.0015512
36,597.903,1.1338,0.6354,1.2786,0.94934,0.88133,0.93245,0.66262,1.23186,0.57425,1.31241,0.001538,0.001538,0.001538
37,614.452,1.13508,0.6414,1.27762,0.95086,0.88205,0.93108,0.66086,1.23843,0.55609,1.30862,0.0015248,0.0015248,0.0015248
38,631.286,1.1346,0.63434,1.27234,0.95823,0.86324,0.92369,0.66137,1.21687,0.56305,1.29304,0.0015116,0.0015116,0.0015116
39,647.858,1.12751,0.63556,1.27184,0.95268,0.8741,0.92786,0.66973,1.21132,0.55387,1.30164,0.0014984,0.0014984,0.0014984
40,664.621,1.12278,0.63082,1.27295,0.94609,0.87627,0.92833,0.66429,1.21341,0.56457,1.30056,0.0014852,0.0014852,0.0014852
41,681.407,1.14242,0.63307,1.27721,0.94599,0.88712,0.93392,0.66519,1.23214,0.55437,1.31041,0.001472,0.001472,0.001472
42,698.167,1.11729,0.61636,1.25858,0.95529,0.88133,0.93098,0.6678,1.22894,0.55362,1.30893,0.0014588,0.0014588,0.0014588
43,715.048,1.11297,0.62076,1.26981,0.94946,0.89725,0.94087,0.66765,1.21559,0.53205,1.29518,0.0014456,0.0014456,0.0014456
44,731.7,1.11232,0.61943,1.2568,0.9491,0.87699,0.92974,0.66791,1.21073,0.56152,1.289,0.0014324,0.0014324,0.0014324
45,748.147,1.12832,0.62141,1.26164,0.95437,0.87771,0.92952,0.66866,1.21267,0.55179,1.29985,0.0014192,0.0014192,0.0014192
46,765.183,1.10331,0.61242,1.25803,0.95514,0.89363,0.93869,0.67218,1.21347,0.55031,1.29049,0.001406,0.001406,0.001406
47,781.874,1.11062,0.61097,1.25884,0.95216,0.89291,0.93791,0.67638,1.216,0.53297,1.29366,0.0013928,0.0013928,0.0013928
48,798.736,1.10576,0.6078,1.25216,0.94969,0.88784,0.93415,0.67597,1.20537,0.54015,1.29273,0.0013796,0.0013796,0.0013796
49,815.581,1.09209,0.60195,1.24598,0.95902,0.88061,0.93298,0.66913,1.21631,0.54317,1.30577,0.0013664,0.0013664,0.0013664
50,832.125,1.09774,0.60509,1.24964,0.95592,0.89436,0.93857,0.67912,1.20896,0.53138,1.29519,0.0013532,0.0013532,0.0013532
51,848.836,1.09058,0.59216,1.2393,0.9573,0.89219,0.93851,0.67626,1.21166,0.53152,1.28756,0.00134,0.00134,0.00134
52,865.524,1.09707,0.60265,1.24708,0.95595,0.89508,0.93838,0.67492,1.20434,0.52101,1.29446,0.0013268,0.0013268,0.0013268
53,882.073,1.09013,0.59402,1.24055,0.95004,0.88061,0.9311,0.66978,1.21111,0.54828,1.28934,0.0013136,0.0013136,0.0013136
54,898.339,1.07904,0.58705,1.23509,0.94599,0.88712,0.93212,0.66117,1.2418,0.53785,1.3138,0.0013004,0.0013004,0.0013004
55,915.406,1.0913,0.59821,1.239,0.96003,0.86903,0.92759,0.67166,1.21292,0.52252,1.29611,0.0012872,0.0012872,0.0012872
56,932.311,1.07468,0.59153,1.23584,0.9505,0.88929,0.93524,0.67352,1.20775,0.53333,1.2968,0.001274,0.001274,0.001274
57,949.004,1.07945,0.59409,1.24027,0.95536,0.88278,0.93329,0.6722,1.21423,0.52154,1.29518,0.0012608,0.0012608,0.0012608
58,965.604,1.06736,0.58343,1.23037,0.95771,0.88495,0.93408,0.67578,1.20263,0.5371,1.28956,0.0012476,0.0012476,0.0012476
59,982.026,1.05797,0.57888,1.22446,0.95602,0.89653,0.94093,0.67598,1.21165,0.52412,1.29287,0.0012344,0.0012344,0.0012344
60,998.709,1.06899,0.58343,1.22911,0.9572,0.89001,0.9378,0.67254,1.21295,0.51873,1.29731,0.0012212,0.0012212,0.0012212
61,1015.43,1.0645,0.57623,1.2303,0.95561,0.88784,0.93585,0.67328,1.20889,0.52177,1.29221,0.001208,0.001208,0.001208
62,1032.17,1.06516,0.57959,1.2313,0.94393,0.88929,0.93394,0.66934,1.21321,0.53114,1.29624,0.0011948,0.0011948,0.0011948
63,1049.17,1.05555,0.56919,1.21926,0.95549,0.90087,0.94073,0.67864,1.20238,0.51706,1.2817,0.0011816,0.0011816,0.0011816
64,1065.69,1.05654,0.57538,1.22367,0.95941,0.88929,0.93726,0.67579,1.21028,0.51759,1.28979,0.0011684,0.0011684,0.0011684
65,1082.27,1.05521,0.56874,1.22087,0.95611,0.88278,0.93363,0.6711,1.20599,0.52265,1.29181,0.0011552,0.0011552,0.0011552
66,1099.14,1.04594,0.5717,1.21371,0.94335,0.90376,0.94034,0.6672,1.21737,0.51924,1.30267,0.001142,0.001142,0.001142
67,1116.12,1.05515,0.57706,1.22355,0.95592,0.89436,0.93794,0.67225,1.21418,0.5226,1.30315,0.0011288,0.0011288,0.0011288
68,1133.17,1.04688,0.56094,1.21847,0.94996,0.89291,0.93744,0.66902,1.21797,0.52022,1.31067,0.0011156,0.0011156,0.0011156
69,1149.9,1.05141,0.5695,1.21738,0.95696,0.90087,0.94353,0.68049,1.19146,0.51071,1.29139,0.0011024,0.0011024,0.0011024
70,1166.44,1.04295,0.55329,1.20742,0.95528,0.89653,0.93922,0.67298,1.21748,0.52286,1.29373,0.0010892,0.0010892,0.0010892
71,1183.08,1.04313,0.55757,1.20861,0.94882,0.8987,0.94111,0.672,1.21741,0.52066,1.30279,0.001076,0.001076,0.001076
72,1199.74,1.02714,0.5518,1.20572,0.95393,0.91389,0.94832,0.68,1.20298,0.5205,1.29523,0.0010628,0.0010628,0.0010628
73,1216.53,1.02953,0.54585,1.20539,0.9555,0.88567,0.9345,0.6746,1.20689,0.5275,1.29289,0.0010496,0.0010496,0.0010496
74,1233.04,1.02783,0.55644,1.21023,0.95227,0.89508,0.93821,0.67908,1.1969,0.51885,1.28945,0.0010364,0.0010364,0.0010364
75,1249.79,1.02627,0.55127,1.20721,0.95595,0.89508,0.93983,0.67543,1.21571,0.52003,1.30689,0.0010232,0.0010232,0.0010232
76,1266.5,1.0366,0.55304,1.21165,0.95528,0.89653,0.9393,0.67544,1.21957,0.51298,1.29695,0.00101,0.00101,0.00101
77,1283.46,1.03345,0.55471,1.20769,0.95732,0.90883,0.94547,0.67414,1.22601,0.51758,1.30808,0.0009968,0.0009968,0.0009968
78,1300.2,1.02422,0.55093,1.20411,0.95736,0.89363,0.93914,0.67294,1.21455,0.52026,1.29992,0.0009836,0.0009836,0.0009836
79,1316.72,1.02451,0.54983,1.20216,0.95669,0.89508,0.9393,0.67849,1.20331,0.51344,1.2872,0.0009704,0.0009704,0.0009704
80,1333.55,1.01762,0.54289,1.19358,0.95423,0.90521,0.94447,0.674,1.21181,0.51759,1.30014,0.0009572,0.0009572,0.0009572
81,1350.43,1.02057,0.54885,1.20093,0.95381,0.89653,0.93926,0.67707,1.2135,0.51839,1.29534,0.000944,0.000944,0.000944
82,1367.17,1.00507,0.53859,1.1851,0.94599,0.91245,0.94726,0.67548,1.22119,0.50744,1.30878,0.0009308,0.0009308,0.0009308
83,1383.62,1.00441,0.53939,1.19323,0.94689,0.90304,0.94245,0.68104,1.19743,0.50883,1.30317,0.0009176,0.0009176,0.0009176
84,1400.56,1.01324,0.54497,1.19979,0.9518,0.90014,0.94116,0.67537,1.21616,0.50922,1.30274,0.0009044,0.0009044,0.0009044
85,1417.06,1.00323,0.53213,1.19363,0.95891,0.89508,0.93893,0.67586,1.21859,0.51308,1.3082,0.0008912,0.0008912,0.0008912
86,1433.29,1.00348,0.54208,1.19932,0.95423,0.90521,0.94467,0.67599,1.21569,0.5067,1.29857,0.000878,0.000878,0.000878
87,1449.81,1.00046,0.53004,1.18768,0.94866,0.8958,0.93853,0.67223,1.21787,0.51372,1.31016,0.0008648,0.0008648,0.0008648
88,1466.83,1.01335,0.54095,1.19294,0.95191,0.90232,0.94284,0.67753,1.21077,0.51063,1.30103,0.0008516,0.0008516,0.0008516
89,1483.49,1.00113,0.53557,1.18854,0.95433,0.89219,0.93695,0.67393,1.21094,0.50127,1.2936,0.0008384,0.0008384,0.0008384
90,1500.48,0.99436,0.53792,1.19049,0.96059,0.89942,0.94165,0.67643,1.21968,0.50652,1.30753,0.0008252,0.0008252,0.0008252
91,1517.58,0.98947,0.5331,1.18757,0.94365,0.90883,0.94572,0.6773,1.20865,0.51539,1.30311,0.000812,0.000812,0.000812
92,1534.35,0.9799,0.52285,1.18364,0.94562,0.90593,0.9438,0.67917,1.2143,0.50546,1.30731,0.0007988,0.0007988,0.0007988
93,1551.03,0.99411,0.53127,1.1856,0.94864,0.90883,0.94587,0.67865,1.20482,0.50637,1.29652,0.0007856,0.0007856,0.0007856
94,1567.64,0.98655,0.52455,1.17975,0.95448,0.89508,0.93876,0.67638,1.20058,0.50176,1.29182,0.0007724,0.0007724,0.0007724
95,1584.34,0.99894,0.53095,1.18623,0.95264,0.90232,0.94131,0.67832,1.20229,0.5007,1.29647,0.0007592,0.0007592,0.0007592
96,1600.78,0.98841,0.5271,1.1823,0.95336,0.90232,0.94266,0.67617,1.21003,0.50153,1.29915,0.000746,0.000746,0.000746
97,1617.02,0.98527,0.52485,1.18002,0.94685,0.90232,0.94085,0.67542,1.2069,0.51524,1.29694,0.0007328,0.0007328,0.0007328
98,1634.02,0.98126,0.52592,1.17668,0.94966,0.90087,0.94076,0.6772,1.21113,0.51871,1.29789,0.0007196,0.0007196,0.0007196
99,1650.95,0.97518,0.51526,1.16849,0.94536,0.91389,0.94736,0.67978,1.20655,0.50143,1.29533,0.0007064,0.0007064,0.0007064
100,1668.03,0.97269,0.52032,1.17689,0.95103,0.89942,0.94089,0.6757,1.20881,0.51322,1.2953,0.0006932,0.0006932,0.0006932
101,1684.77,0.97541,0.52125,1.17238,0.95129,0.90449,0.94294,0.67307,1.21356,0.50255,1.30954,0.00068,0.00068,0.00068
102,1701.3,0.96969,0.51832,1.17253,0.94862,0.89508,0.93876,0.67203,1.21436,0.49981,1.30762,0.0006668,0.0006668,0.0006668
103,1718.19,0.97321,0.51137,1.16957,0.94565,0.90087,0.93956,0.67502,1.21169,0.50152,1.30267,0.0006536,0.0006536,0.0006536
104,1734.88,0.96648,0.51181,1.17477,0.95736,0.89363,0.93723,0.67578,1.21235,0.5041,1.29188,0.0006404,0.0006404,0.0006404
105,1751.66,0.95488,0.50383,1.1617,0.94558,0.90521,0.94251,0.67728,1.21661,0.50609,1.30462,0.0006272,0.0006272,0.0006272
106,1768.62,0.95289,0.50683,1.16284,0.94796,0.90955,0.94539,0.679,1.21061,0.50012,1.30014,0.000614,0.000614,0.000614
107,1785.43,0.95831,0.50678,1.16132,0.94932,0.9081,0.94482,0.68069,1.20408,0.49473,1.2952,0.0006008,0.0006008,0.0006008
108,1802.41,0.95861,0.50769,1.16404,0.94662,0.911,0.94641,0.67639,1.20969,0.49693,1.30413,0.0005876,0.0005876,0.0005876
109,1818.7,0.95515,0.50423,1.16241,0.95271,0.90376,0.94183,0.67701,1.21578,0.5035,1.30749,0.0005744,0.0005744,0.0005744
110,1835.44,0.95559,0.50817,1.16158,0.9514,0.90666,0.9445,0.67942,1.2115,0.4991,1.30254,0.0005612,0.0005612,0.0005612
111,1852.36,0.95304,0.50467,1.16147,0.94777,0.90593,0.94432,0.67739,1.21375,0.51111,1.30638,0.000548,0.000548,0.000548
112,1869.28,0.96357,0.50785,1.16538,0.9457,0.90738,0.94388,0.67985,1.20536,0.50337,1.30527,0.0005348,0.0005348,0.0005348
113,1886.07,0.94849,0.49971,1.1548,0.95471,0.89653,0.94129,0.67784,1.21595,0.50912,1.31503,0.0005216,0.0005216,0.0005216
114,1902.47,0.94469,0.49654,1.15237,0.94709,0.90666,0.94285,0.6775,1.21054,0.49662,1.30395,0.0005084,0.0005084,0.0005084
115,1918.81,0.94361,0.49684,1.15586,0.95756,0.89797,0.94034,0.67294,1.22115,0.50785,1.31219,0.0004952,0.0004952,0.0004952
116,1935.64,0.94756,0.49788,1.15474,0.95129,0.90449,0.94316,0.67753,1.20808,0.5006,1.30451,0.000482,0.000482,0.000482
117,1952.38,0.94349,0.49889,1.15765,0.95715,0.90521,0.94337,0.67832,1.20948,0.50142,1.30143,0.0004688,0.0004688,0.0004688
118,1968.8,0.94289,0.50184,1.15732,0.95745,0.91172,0.94803,0.6784,1.216,0.4997,1.30908,0.0004556,0.0004556,0.0004556
119,1985.48,0.94283,0.4992,1.15345,0.95939,0.90593,0.94484,0.68111,1.21115,0.49759,1.29982,0.0004424,0.0004424,0.0004424
120,2002.22,0.93829,0.49349,1.142,0.9488,0.91172,0.9466,0.67653,1.21962,0.49633,1.31163,0.0004292,0.0004292,0.0004292
121,2019.03,0.93086,0.49686,1.14832,0.9534,0.90304,0.94307,0.6775,1.21044,0.49389,1.30973,0.000416,0.000416,0.000416
122,2035.76,0.9306,0.48984,1.14347,0.9492,0.90593,0.9439,0.67874,1.21134,0.49607,1.30926,0.0004028,0.0004028,0.0004028
123,2052.56,0.93052,0.49305,1.14342,0.95026,0.91245,0.94777,0.68237,1.20325,0.4906,1.30771,0.0003896,0.0003896,0.0003896
124,2069.16,0.93449,0.48886,1.15038,0.9522,0.9081,0.94595,0.67798,1.21761,0.49472,1.31019,0.0003764,0.0003764,0.0003764
125,2086.85,0.9338,0.48893,1.14699,0.95144,0.90738,0.94478,0.68096,1.2115,0.49953,1.30745,0.0003632,0.0003632,0.0003632
126,2104.18,0.92742,0.49133,1.13961,0.94792,0.90883,0.94546,0.68106,1.21289,0.50172,1.30568,0.00035,0.00035,0.00035
127,2120.97,0.93319,0.48898,1.14868,0.95268,0.90738,0.94624,0.68121,1.21074,0.48789,1.30664,0.0003368,0.0003368,0.0003368
128,2137.75,0.91703,0.48466,1.13683,0.95586,0.90883,0.94723,0.6809,1.20626,0.49457,1.29992,0.0003236,0.0003236,0.0003236
129,2154.12,0.92452,0.48403,1.13488,0.95997,0.90232,0.94303,0.67882,1.21072,0.49541,1.30482,0.0003104,0.0003104,0.0003104
130,2171.08,0.92233,0.48722,1.13642,0.95278,0.90521,0.94428,0.67557,1.21218,0.48685,1.30934,0.0002972,0.0002972,0.0002972
131,2187.75,0.91263,0.48123,1.14151,0.95019,0.911,0.94742,0.68013,1.21195,0.48784,1.30718,0.000284,0.000284,0.000284
132,2204.33,0.91559,0.4856,1.14086,0.95231,0.91027,0.94654,0.67925,1.21457,0.48636,1.31224,0.0002708,0.0002708,0.0002708
133,2221.01,0.91715,0.47584,1.13557,0.95423,0.90521,0.94414,0.68028,1.21272,0.48514,1.30641,0.0002576,0.0002576,0.0002576
134,2237.81,0.91701,0.4802,1.14022,0.95792,0.90593,0.94444,0.67906,1.21234,0.48666,1.30089,0.0002444,0.0002444,0.0002444
135,2254.66,0.91622,0.47942,1.13329,0.95365,0.9081,0.94556,0.67921,1.21196,0.48725,1.30857,0.0002312,0.0002312,0.0002312
136,2271.56,0.91359,0.47937,1.13952,0.95365,0.9081,0.9453,0.67874,1.21949,0.48838,1.31351,0.000218,0.000218,0.000218
137,2288.34,0.90608,0.4783,1.13615,0.95738,0.91027,0.94688,0.68126,1.21544,0.48393,1.31343,0.0002048,0.0002048,0.0002048
138,2305,0.90284,0.4751,1.12842,0.95593,0.91027,0.94725,0.68074,1.2132,0.4877,1.3119,0.0001916,0.0001916,0.0001916
139,2321.9,0.90377,0.47363,1.13163,0.95728,0.9081,0.94573,0.67838,1.21326,0.48837,1.3122,0.0001784,0.0001784,0.0001784
140,2338.26,0.90902,0.48026,1.13662,0.95202,0.90449,0.94337,0.67802,1.21594,0.49088,1.31501,0.0001652,0.0001652,0.0001652
141,2366.74,0.85713,0.39452,1.1039,0.94936,0.90883,0.94529,0.67737,1.21551,0.48994,1.32264,0.000152,0.000152,0.000152
142,2382.68,0.83375,0.37799,1.08813,0.95008,0.90883,0.94491,0.67782,1.2109,0.49062,1.31757,0.0001388,0.0001388,0.0001388
143,2398.82,0.83034,0.37574,1.09182,0.95347,0.90449,0.94341,0.67961,1.21381,0.48617,1.31859,0.0001256,0.0001256,0.0001256
144,2415.48,0.82713,0.37437,1.09357,0.95719,0.90593,0.94488,0.68084,1.21441,0.48735,1.32028,0.0001124,0.0001124,0.0001124
145,2432.1,0.82487,0.3764,1.08989,0.95586,0.90883,0.94592,0.67807,1.21543,0.48606,1.32262,9.92e-05,9.92e-05,9.92e-05
146,2448.56,0.8226,0.37091,1.09342,0.95562,0.90376,0.94387,0.67889,1.21392,0.48993,1.32063,8.6e-05,8.6e-05,8.6e-05
147,2464.6,0.80959,0.3705,1.08498,0.95593,0.91027,0.94662,0.67901,1.21497,0.48946,1.32173,7.28e-05,7.28e-05,7.28e-05
148,2480.81,0.81902,0.37462,1.09357,0.95741,0.911,0.94687,0.68118,1.21631,0.49256,1.32313,5.96e-05,5.96e-05,5.96e-05
149,2496.72,0.8159,0.36871,1.08325,0.95441,0.90883,0.94582,0.67966,1.21389,0.49473,1.32122,4.64e-05,4.64e-05,4.64e-05
150,2512.84,0.81198,0.3708,1.08728,0.95728,0.9081,0.94568,0.68037,1.21389,0.49224,1.3201,3.32e-05,3.32e-05,3.32e-05
